,adminRights,controllables,controllers,dcomRights,members,membership,admincount,description,distinguishedname,doesanyacegrantownerrights,doesanyinheritedacegrantownerrights,domain,domainsid,isaclprotected,lastseen,name,objectid,samaccountname,whencreated,psRemoteRights,rdpRights,sessions,admin_tier_0,path_da_nnodes,path_da_nedges,path_da_nodes,path_da_edges,path_da_nodes_oidlist,control_risk,system_tags,objectID,error,controllables_norm,controllers_norm,path_da_nedges_norm,members_norm,sessions_norm,n_in_path_da,n_in_path_da_norm,members_controllables_mean,users_mean-group_control,users_mean-group_control_norm,control_risk_norm,control_risk_norm_100,control_risk_100
14,0.0,0.0,217.0,0.0,84.0,8.0,False,DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).,"CN=DNSUPDATEPROXY,CN=USERS,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,DNSUPDATEPROXY@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-1102,DnsUpdateProxy,1742158132.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],301.0,,,,0.0,0.49885057471264366,0.0,0.032357473035439135,1.0,0.0,0.0,347.6981132075472,347.6981132075472,0.9023089186226823,2.433516966370765,0.2184481745322894,0.16543188163651154
15,0.0,0.0,219.0,0.0,20.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=NE-SIS-DISTLIST1,OU=DEVICES,OU=ESM,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,NE-SIS-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3594,NE-sis-distlist1,1742159158.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],239.0,,,,0.0,0.503448275862069,0.0,0.007704160246533128,1.0,0.0,0.0,69.16666666666667,69.16666666666667,0.980254910392308,2.4914073465009103,0.2236447883373989,0.13135621166487127
16,0.0,0.0,275.0,0.0,178.0,6.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=EM-ALLISONRO-ADMINGROUP1,OU=AZR,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,EM-ALLISONRO-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3595,EM-allisonro-admingroup1,1742159158.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],453.0,,,,0.0,0.632183908045977,0.0,0.06856702619414484,1.0,0.0,0.0,437.38582677165357,437.38582677165357,0.8772101447853866,2.5779610790255085,0.23141440947842276,0.2489722338250489
18,0.0,0.0,219.0,0.0,29.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=AN-PAN-DISTLIST1,OU=UNASSOCIATED,OU=PEOPLE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,AN-PAN-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3597,AN-pan-distlist1,1742159159.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],248.0,,,,0.0,0.503448275862069,0.0,0.011171032357473035,1.0,0.0,0.0,465.3529411764706,465.3529411764706,0.8693836515965893,2.384002959816131,0.2140034780312535,0.136302679886561
19,0.0,0.0,219.0,0.0,129.0,5.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=CL-FEA-ADMINGROUP1,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,CL-FEA-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3598,CL-fea-admingroup1,1742159159.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],348.0,,,,0.0,0.503448275862069,0.0,0.04969183359013867,1.0,0.0,0.0,321.0967741935484,321.0967741935484,0.909753204636333,2.4628933140885407,0.2210851849259108,0.1912634379053356
20,0.0,0.0,218.0,0.0,60.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=MO-PRE-DISTLIST1,OU=BDE,OU=TIER 1,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,MO-PRE-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3599,MO-pre-distlist1,1742159159.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],278.0,,,,0.0,0.5011494252873563,0.0,0.023112480739599383,1.0,0.0,0.0,524.4444444444445,524.4444444444445,0.8528471136775063,2.377109019704462,0.21338463351381626,0.15279090729219338
21,0.0,3363.0,255.0,0.0,23.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=DE-DAS-DISTLIST1,OU=GROUPS,OU=AZR,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:39.799Z,DE-DAS-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3600,DE-das-distlist1,1742159160.0,0.0,0.0,0.0,False,5.0,6.0,"                             label       kind  \
id                                              
1002             USERS@MYLAB.LOCAL  Container   
1019       LOUIS_TYLER@MYLAB.LOCAL       User   
128      DOMAIN ADMINS@MYLAB.LOCAL      Group   
477      JENNA_HARDING@MYLAB.LOCAL       User   
870   DE-DAS-DISTLIST1@MYLAB.LOCAL      Group   

                                           objectId  isTierZero  \
id                                                                
1002           643CE9DD-6D50-4B82-8DA1-994C82A16D6C       False   
1019  S-1-5-21-1333368235-828418111-1849936505-3276        True   
128    S-1-5-21-1333368235-828418111-1849936505-512        True   
477   S-1-5-21-1333368235-828418111-1849936505-1447        True   
870   S-1-5-21-1333368235-828418111-1849936505-3600       False   

      isOwnedObject                        lastSeen  
id                                                   
1002          False        2025-03-16T21:35:40.053Z  
1019          False        2025-03-16T21:35:40.117Z  
128           False        2025-03-16T21:35:40.428Z  
477           False  2025-03-16T21:35:31.048103438Z  
870           False        2025-03-16T21:35:39.799Z  ","  source target       label        kind                        lastSeen
0    870   1019  GenericAll  GenericAll  2025-03-16T21:35:35.889597893Z
1   1019    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
2    870    477  GenericAll  GenericAll  2025-03-16T21:35:31.049135433Z
3    477    128    MemberOf    MemberOf   2025-03-16T21:35:36.88777499Z
4    870   1002  GenericAll  GenericAll  2025-03-16T21:35:38.232994191Z
5   1002    128    Contains    Contains   2025-03-16T21:35:36.88777499Z","['643CE9DD-6D50-4B82-8DA1-994C82A16D6C'
 'S-1-5-21-1333368235-828418111-1849936505-3276'
 'S-1-5-21-1333368235-828418111-1849936505-512'
 'S-1-5-21-1333368235-828418111-1849936505-1447'
 'S-1-5-21-1333368235-828418111-1849936505-3600']",4036.0,,,,0.9414893617021277,0.5862068965517241,0.2,0.008859784283513097,1.0,389.0,0.5425383542538355,3362.157894736842,-0.8421052631579187,0.9998466054357716,4.278941002226972,0.3841053355226265,2.2182161936377427
22,0.0,0.0,219.0,0.0,36.0,3.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=HA-CAR-DISTLIST1,OU=UNASSOCIATED,OU=PEOPLE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:40.097Z,HA-CAR-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3601,HA-car-distlist1,1742159160.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],255.0,,,,0.0,0.503448275862069,0.0,0.01386748844375963,1.0,0.0,0.0,171.6,171.6,0.9515893221576831,2.468905086463512,0.22162484037897087,0.1401499329478752
23,0.0,0.0,219.0,0.0,30.0,3.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=MA-ROC-DISTLIST1,OU=TEST,OU=ESM,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:40.097Z,MA-ROC-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3602,MA-roc-distlist1,1742159160.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],249.0,,,,0.0,0.503448275862069,0.0,0.011556240369799691,1.0,0.0,0.0,412.5882352941176,412.5882352941176,0.8841496587441124,2.399154174975981,0.2153635488009885,0.13685228746674874
24,0.0,0.0,221.0,0.0,166.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=JU-CAPRICORN-DISTLIST1,OU=HRE,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,JU-CAPRICORN-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3603,JU-capricorn-distlist1,1742159160.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],387.0,,,,0.0,0.5080459770114942,0.0,0.06394453004622497,1.0,0.0,0.0,551.6699029126214,551.6699029126214,0.8452281701505199,2.417218677208239,0.2169851350035932,0.21269813353265768
25,0.0,0.0,219.0,0.0,21.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=PA-MARIAISAB-DISTLIST1,OU=SEC,OU=TIER 2,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,PA-MARIAISAB-DISTLIST1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3604,PA-mariaisab-distlist1,1742159161.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],240.0,,,,0.0,0.503448275862069,0.0,0.008089368258859784,1.0,0.0,0.0,612.9375,612.9375,0.8280826604508937,2.3396203045718225,0.21001940471144662,0.13190581924505904
26,0.0,0.0,219.0,0.0,135.0,0.0,False,User Group Created by Badblood github.com/davidprowe/badblood,"CN=ER-PPO-ADMINGROUP1,OU=DEVICES,OU=FIN,OU=STAGE,DC=MYLAB,DC=LOCAL",False,False,MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505,False,2025-03-16T21:35:36.886857315Z,ER-PPO-ADMINGROUP1@MYLAB.LOCAL,S-1-5-21-1333368235-828418111-1849936505-3605,ER-ppo-admingroup1,1742159161.0,0.0,0.0,0.0,False,0.0,0.0,0,0,[],354.0,,,,0.0,0.503448275862069,0.0,0.052003081664098616,1.0,0.0,0.0,388.44827586206895,388.44827586206895,0.8909051368151797,2.446356494341347,0.219600733353859,0.19456108338646208
